ERR13261328 mapped=99.65 proper=98.94
ERR13273273 mapped=96.51 proper=95.70
ERR181948 mapped=99.72 proper=89.47
ERR190365 mapped=99.30 proper=97.38
ERR229953 mapped=99.44 proper=98.24
ERR2510201 mapped=99.76 proper=99.10
ERR2510662 mapped=99.30 proper=97.03
ERR2512913 mapped=99.48 proper=98.06
ERR3287554 mapped=99.61 proper=98.96
ERR4797483 mapped=99.66 proper=99.23
ERR4797823 mapped=99.84 proper=99.35
ERR4799708 mapped=99.50 proper=98.10
ERR4808873 mapped=99.48 proper=98.85
ERR4809179 mapped=99.68 proper=99.10
ERR4813445 mapped=99.62 proper=99.11
ERR4813681 mapped=99.63 proper=99.13
ERR4814489 mapped=99.30 proper=98.28
ERR4818219 mapped=96.84 proper=95.71
ERR4818435 mapped=99.40 proper=98.34
ERR4821755 mapped=99.59 proper=98.80
ERR4821953 mapped=98.88 proper=98.46
ERR4831878 mapped=99.49 proper=98.31
ERR5918134 mapped=99.85 proper=99.20
ERR8975061 mapped=99.71 proper=99.31
ERR8975559 mapped=99.68 proper=98.92
ERR9119614 mapped=99.56 proper=99.17
ERR9125253 mapped=99.43 proper=98.54
SRR2100603 mapped=99.49 proper=92.15
SRR6045767 mapped=99.07 proper=97.94
SRR671855 mapped=99.51 proper=92.44
