sample	raw	filtered	pct_kept
ERR13261328	1849	1384	74.9
ERR13273273	1835	1386	75.5
ERR181948	1065	768	72.1
ERR190365	2517	1935	76.9
ERR229953	1246	890	71.4
ERR2510201	1095	782	71.4
ERR2510662	1705	1294	75.9
ERR2512913	1196	885	74.0
ERR3287554	1038	742	71.5
ERR4797483	780	526	67.4
ERR4797823	774	528	68.2
ERR4799708	1796	1342	74.7
ERR4808873	1792	1360	75.9
ERR4809179	1105	772	69.9
ERR4813445	1066	798	74.9
ERR4813681	1001	712	71.1
ERR4814489	2499	1922	76.9
ERR4818219	1074	773	72.0
ERR4818435	1172	877	74.8
ERR4821755	1728	1293	74.8
ERR4821953	724	516	71.3
ERR4831878	1053	793	75.3
ERR5918134	1117	808	72.3
ERR8975061	783	537	68.6
ERR8975559	1807	1365	75.5
ERR9119614	1206	875	72.6
ERR9125253	1750	1321	75.5
SRR2100603	1731	1295	74.8
SRR6045767	1766	1338	75.8
SRR671855	1734	1253	72.3
