sample	lineage	n_markers	ancestral_path	off_path_markers
ERR13261328	lineage2.2.1.1	4	lineage2;lineage2.2;lineage2.2.1;lineage2.2.1.1	
ERR13273273	lineage2.2.1	3	lineage2;lineage2.2;lineage2.2.1	
ERR181948	lineage4.3.4.2.1	4	lineage4.3;lineage4.3.4;lineage4.3.4.2;lineage4.3.4.2.1	
ERR190365	lineage1.1.2	3	lineage1;lineage1.1;lineage1.1.2	
ERR229953	lineage4.2.1	2	lineage4.2;lineage4.2.1	
ERR2510201	lineage4.3.3	2	lineage4.3;lineage4.3.3	
ERR2510662	lineage3.1.2	3	lineage3;lineage3.1;lineage3.1.2	
ERR2512913	lineage4.2.2.2	3	lineage4.2;lineage4.2.2;lineage4.2.2.2	
ERR3287554	lineage4.3.2	2	lineage4.3;lineage4.3.2	
ERR4797483	lineage4.8	1	lineage4.8	
ERR4797823	lineage4.8	1	lineage4.8	
ERR4799708	lineage3	1	lineage3	
ERR4808873	lineage2.2.1	3	lineage2;lineage2.2;lineage2.2.1	
ERR4809179	lineage4.3.2.1	3	lineage4.3;lineage4.3.2;lineage4.3.2.1	
ERR4813445	lineage4.3.3	2	lineage4.3;lineage4.3.3	
ERR4813681	unassigned	0		
ERR4814489	lineage1.1.2	3	lineage1;lineage1.1;lineage1.1.2	
ERR4818219	lineage4.3.2.1	3	lineage4.3;lineage4.3.2;lineage4.3.2.1	
ERR4818435	lineage4.1.1.3	3	lineage4.1;lineage4.1.1;lineage4.1.1.3	
ERR4821755	lineage3	1	lineage3	
ERR4821953	lineage4.7	1	lineage4.7	
ERR4831878	lineage4.4.2	2	lineage4.4;lineage4.4.2	
ERR5918134	lineage4.3.4.2.1	4	lineage4.3;lineage4.3.4;lineage4.3.4.2;lineage4.3.4.2.1	
ERR8975061	lineage4.8	1	lineage4.8	
ERR8975559	lineage2.2.1	3	lineage2;lineage2.2;lineage2.2.1	
ERR9119614	lineage4.1.2.1	3	lineage4.1;lineage4.1.2;lineage4.1.2.1	
ERR9125253	lineage2.2.1	3	lineage2;lineage2.2;lineage2.2.1	
SRR2100603	lineage3.1.1	3	lineage3;lineage3.1;lineage3.1.1	
SRR6045767	lineage3.1.2.2	4	lineage3;lineage3.1;lineage3.1.2;lineage3.1.2.2	
SRR671855	lineage2.2.2	3	lineage2;lineage2.2;lineage2.2.2	
