run             pass%  adapt%  insert   Q30%   len    cov
ERR181948        99.0     0.3     169   91.2    99     64
SRR2100603       99.4     2.0     169   93.2    99     68
ERR2510662       93.5     6.7     101   88.6    94     72
ERR4808873       93.9     0.4     256   88.0   149     76
ERR4821755       97.3     0.0     166   95.6    99     76
ERR4818435       98.2     1.7     238   92.8   147     77
SRR6045767       95.8     1.1     150   87.1   141     81
ERR190365        99.2     0.2     169   91.2    99     81
ERR4821953       96.3     0.2     100   94.8    96     98
ERR229953        99.0     0.1     169   89.9    99    100
ERR4797823       96.9    14.2     226   90.4   144    100
ERR4831878       96.6     0.0     262   83.3   147    101
ERR13261328      95.8     9.6     150   89.4   145    102
ERR4813681       99.1     2.6     252   91.5   150    104
ERR4813445       99.7     3.4     243   94.0   150    105
ERR5918134       96.4     1.3     262   89.1   149    106
SRR671855        94.8     1.5      80   89.9    77    108
ERR4814489       97.2     0.0     168   96.2    99    108
ERR4799708       97.1     5.3     267   93.5   147    109
ERR3287554       98.3     1.4     254   92.7   149    114
ERR8975061       98.3     0.6     262   92.4   149    117
ERR2512913       99.7     1.4     269   95.9   150    117
ERR13273273      96.1     0.1     263   89.1   148    117
ERR8975559       98.9     3.6     247   92.8   149    118
ERR4818219       97.4     0.0     165   97.2   100    121
ERR2510201       97.6     0.1     164   89.1    98    123
ERR4809179       97.8     1.1     259   92.0   149    126
ERR9119614       95.0     0.3     264   88.9   147    137
ERR9125253       95.3     0.6     150   90.4   138    142
ERR4797483       91.9    20.4     150   81.3   141    144

lowest pass rate: ERR4797483 at 91.9%
lowest coverage:  ERR181948 at 64x
