UNIQUEID,run_accession,sample_accession,INH,RIF,TB_DEPTH,TB_COVERAGE,dataset,center_name,fastq_1,fastq_2,md5_1,md5_2,MB
site.03.subj.14-7047_LIB7079.lab.14-7047_LIB7079.iso.1,ERR9119614,SAMEA13292750,S,R,113.236,99.6359,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Borstel,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR911/004/ERR9119614/ERR9119614_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR911/004/ERR9119614/ERR9119614_2.fastq.gz,d337b12e74aeb8c6e595c19865b99de4,08f74dacfb7c5363f485d06015adac42,387.91566
site.03.subj.684_14.lab.AZE-175_LIB18377.iso.1,ERR13273273,SAMEA115744375,R,S,96.0222,99.2693,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);NDM Oxford,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/073/ERR13273273/ERR13273273_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/073/ERR13273273/ERR13273273_2.fastq.gz,b7e45a44513831802022cf2b2e30ab3f,a89e55fbc23babe56c5b266f39664617,328.84796
site.04.subj.01052.lab.718268.iso.1,ERR4797823,SAMEA7526376,R,R,87.1536,99.7658,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Foundation for Medical Research India,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797823/ERR4797823_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797823/ERR4797823_2.fastq.gz,035c903653718c52717cbacf2bda6768,75e3c3f4838a0c7f44819e6353495125,282.536324
site.04.subj.01352.lab.721686.iso.1,ERR4797483,SAMEA7526034,R,R,104.837,99.638,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Foundation for Medical Research India,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797483/ERR4797483_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797483/ERR4797483_2.fastq.gz,d2cf7fa201f77f567685f5dda6c6f4f1,9187b87f384422fa0a3d1e655c0954e1,486.914592
site.04.subj.04632.lab.905390.iso.1,ERR4799708,SAMEA7528293,R,R,92.7494,99.9544,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Foundation for Medical Research India,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4799708/ERR4799708_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4799708/ERR4799708_2.fastq.gz,d6b47b2565bf299d6ed56e7a9ca401d9,ab0e51b87edd40c9511fe5736604428b,284.000987
site.04.subj.04692.lab.944866.iso.1,ERR13261328,SAMEA115739110,R,R,80.834,99.4993,CRyPTIC-v2.0,University of Oxford;Nuffield Department of Medicine (NDM);NDM Oxford,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13261328/ERR13261328_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13261328/ERR13261328_2.fastq.gz,317f62fecdad0053bc30b34a31fe45e4,efc7fa7fa81af7ea70a2aa63f5a33eca,306.997379
site.05.subj.LI2149009.lab.14893_2_4.iso.1,ERR2510201,SAMEA1101378,S,R,103.392,99.5426,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Universidad Peruana Cayetano Heredia,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2510201/ERR2510201_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2510201/ERR2510201_2.fastq.gz,9756365df50a911dfbb61a9f6f87b109,fa3df4df658cf3f30e53d8f6be2e37bc,307.498636
site.05.subj.LR-2252.lab.FN-00453-17.iso.1,ERR4813445,SAMEA7546951,S,R,97.5687,99.5334,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Universidad Peruana Cayetano Heredia,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813445/ERR4813445_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813445/ERR4813445_2.fastq.gz,f57790b511c3dddf4b6d2accdcc70179,b8aa336ee4694208befcb56d376df6dc,224.39237
site.05.subj.LR-2516.lab.FN-01321-18.iso.1,ERR4813681,SAMEA7547187,S,R,92.5049,99.7417,CRyPTIC-v2.0,University of Oxford;Nuffield Department of Medicine (NDM);Universidad Peruana Cayetano Heredia,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4813681/ERR4813681_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4813681/ERR4813681_2.fastq.gz,9b218d91e73f7416bf21dd7170595fb7,1f2958f95c3d894b07841245b0e023bc,234.26286
site.05.subj.PLE-0891.lab.LE-371.iso.1,ERR3287554,SAMEA5569747,S,R,99.0909,96.6945,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Universidad Peruana Cayetano Heredia;Peru,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/004/ERR3287554/ERR3287554_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/004/ERR3287554/ERR3287554_2.fastq.gz,471bcd39a8c8fb1d02b285f27e9d3326,c85becbf32be21cfd0633e3b1afe39af,302.191842
