sample	chrom	start	end	gene	mean_depth
ERR13261328	NC_000962.3	7101	9818	gyrA	86.97
ERR13261328	NC_000962.3	759606	763325	rpoB	73.82
ERR13261328	NC_000962.3	781359	781934	rpsL	87.37
ERR13261328	NC_000962.3	1471645	1473382	rrs	27.22
ERR13261328	NC_000962.3	1673239	1674183	fabG1	74.69
ERR13261328	NC_000962.3	1674001	1675011	inhA	91.54
ERR13261328	NC_000962.3	2153888	2156311	katG	79.86
ERR13261328	NC_000962.3	2288680	2289441	pncA	94.13
ERR13261328	NC_000962.3	2714123	2715532	eis	100.97
ERR13261328	NC_000962.3	2725992	2726780	ahpC	82.01
ERR13261328	NC_000962.3	4246313	4249810	embB	92.46
ERR13261328	NC_000962.3	4326003	4327673	ethA	79.98
ERR13273273	NC_000962.3	7101	9818	gyrA	108.74
ERR13273273	NC_000962.3	759606	763325	rpoB	110.77
ERR13273273	NC_000962.3	781359	781934	rpsL	115.16
ERR13273273	NC_000962.3	1471645	1473382	rrs	135.27
ERR13273273	NC_000962.3	1673239	1674183	fabG1	120.28
ERR13273273	NC_000962.3	1674001	1675011	inhA	105.82
ERR13273273	NC_000962.3	2153888	2156311	katG	106.66
ERR13273273	NC_000962.3	2288680	2289441	pncA	118.11
ERR13273273	NC_000962.3	2714123	2715532	eis	114.16
ERR13273273	NC_000962.3	2725992	2726780	ahpC	134.07
ERR13273273	NC_000962.3	4246313	4249810	embB	108.99
ERR13273273	NC_000962.3	4326003	4327673	ethA	116.59
ERR181948	NC_000962.3	7101	9818	gyrA	63.32
ERR181948	NC_000962.3	759606	763325	rpoB	64.28
ERR181948	NC_000962.3	781359	781934	rpsL	66.05
ERR181948	NC_000962.3	1471645	1473382	rrs	65.86
ERR181948	NC_000962.3	1673239	1674183	fabG1	63.30
ERR181948	NC_000962.3	1674001	1675011	inhA	60.48
ERR181948	NC_000962.3	2153888	2156311	katG	60.27
ERR181948	NC_000962.3	2288680	2289441	pncA	57.94
ERR181948	NC_000962.3	2714123	2715532	eis	65.55
ERR181948	NC_000962.3	2725992	2726780	ahpC	61.76
ERR181948	NC_000962.3	4246313	4249810	embB	64.18
ERR181948	NC_000962.3	4326003	4327673	ethA	72.87
ERR190365	NC_000962.3	7101	9818	gyrA	76.87
ERR190365	NC_000962.3	759606	763325	rpoB	76.64
ERR190365	NC_000962.3	781359	781934	rpsL	79.54
ERR190365	NC_000962.3	1471645	1473382	rrs	66.05
ERR190365	NC_000962.3	1673239	1674183	fabG1	72.61
ERR190365	NC_000962.3	1674001	1675011	inhA	73.45
ERR190365	NC_000962.3	2153888	2156311	katG	73.41
ERR190365	NC_000962.3	2288680	2289441	pncA	74.68
ERR190365	NC_000962.3	2714123	2715532	eis	77.38
ERR190365	NC_000962.3	2725992	2726780	ahpC	78.49
ERR190365	NC_000962.3	4246313	4249810	embB	84.17
ERR190365	NC_000962.3	4326003	4327673	ethA	74.33
ERR229953	NC_000962.3	7101	9818	gyrA	100.47
ERR229953	NC_000962.3	759606	763325	rpoB	91.64
ERR229953	NC_000962.3	781359	781934	rpsL	92.97
ERR229953	NC_000962.3	1471645	1473382	rrs	98.28
ERR229953	NC_000962.3	1673239	1674183	fabG1	96.24
ERR229953	NC_000962.3	1674001	1675011	inhA	91.16
ERR229953	NC_000962.3	2153888	2156311	katG	96.59
ERR229953	NC_000962.3	2288680	2289441	pncA	99.25
ERR229953	NC_000962.3	2714123	2715532	eis	95.60
ERR229953	NC_000962.3	2725992	2726780	ahpC	93.78
ERR229953	NC_000962.3	4246313	4249810	embB	91.26
ERR229953	NC_000962.3	4326003	4327673	ethA	98.00
ERR2510201	NC_000962.3	7101	9818	gyrA	104.85
ERR2510201	NC_000962.3	759606	763325	rpoB	105.58
ERR2510201	NC_000962.3	781359	781934	rpsL	88.35
ERR2510201	NC_000962.3	1471645	1473382	rrs	47.33
ERR2510201	NC_000962.3	1673239	1674183	fabG1	92.85
ERR2510201	NC_000962.3	1674001	1675011	inhA	104.09
ERR2510201	NC_000962.3	2153888	2156311	katG	108.73
ERR2510201	NC_000962.3	2288680	2289441	pncA	107.75
ERR2510201	NC_000962.3	2714123	2715532	eis	125.77
ERR2510201	NC_000962.3	2725992	2726780	ahpC	107.35
ERR2510201	NC_000962.3	4246313	4249810	embB	126.78
ERR2510201	NC_000962.3	4326003	4327673	ethA	105.19
ERR2510662	NC_000962.3	7101	9818	gyrA	53.63
ERR2510662	NC_000962.3	759606	763325	rpoB	55.18
ERR2510662	NC_000962.3	781359	781934	rpsL	56.51
ERR2510662	NC_000962.3	1471645	1473382	rrs	51.18
ERR2510662	NC_000962.3	1673239	1674183	fabG1	49.03
ERR2510662	NC_000962.3	1674001	1675011	inhA	40.38
ERR2510662	NC_000962.3	2153888	2156311	katG	49.22
ERR2510662	NC_000962.3	2288680	2289441	pncA	54.79
ERR2510662	NC_000962.3	2714123	2715532	eis	61.63
ERR2510662	NC_000962.3	2725992	2726780	ahpC	56.00
ERR2510662	NC_000962.3	4246313	4249810	embB	55.03
ERR2510662	NC_000962.3	4326003	4327673	ethA	57.79
ERR2512913	NC_000962.3	7101	9818	gyrA	106.93
ERR2512913	NC_000962.3	759606	763325	rpoB	99.29
ERR2512913	NC_000962.3	781359	781934	rpsL	110.86
ERR2512913	NC_000962.3	1471645	1473382	rrs	119.60
ERR2512913	NC_000962.3	1673239	1674183	fabG1	99.07
ERR2512913	NC_000962.3	1674001	1675011	inhA	106.42
ERR2512913	NC_000962.3	2153888	2156311	katG	101.73
